text,label
Can you tell me an interesting story,chitchat
What is the capital city of France,chitchat
Do you enjoy eating pizza,chitchat
How old are you exactly,chitchat
What does two plus two equal,chitchat
Are you able to sing well,chitchat
Do you have a family or relatives,chitchat
What are your personal hobbies,chitchat
Where in the world do you live,chitchat
Do you drink water regularly,chitchat
Can artificial machines feel emotions,chitchat
What is your intelligence quotient score,chitchat
Tell me something really interesting,chitchat
Do you like watching movies,chitchat
What is your biggest life dream,chitchat
Do you ever feel lonely,chitchat
Can you play chess or card games,chitchat
What is your favorite book,chitchat
Do you exercise and stay fit,chitchat
Can you dance to music,chitchat
What do you think is the meaning of life,chitchat
Do you believe aliens exist,chitchat
What is your favorite type of food,chitchat
Tell me about yourself and your background,chitchat
How do you spend your typical day,chitchat
What makes you happy and content,chitchat
Do you have friends or companions,chitchat
Can you operate or drive vehicles,chitchat
What is your biggest fear or phobia,chitchat
Do you like to travel around,chitchat
Tell me something funny and amusing,chitchat
What are your goals for the future,chitchat
Stop the current process immediately,reset_thread
Start over from the very beginning,reset_thread
Clear all my previous context and inputs,reset_thread
Reset this conversation and begin fresh,reset_thread
I made a mistake let's start over,reset_thread
Let's begin this process again from scratch,reset_thread
Cancel everything we've discussed so far,reset_thread
Restart the entire conversation please,reset_thread
Begin with a completely fresh start,reset_thread
Erase all the previous information you have,reset_thread
I need to start a new session,reset_thread
Go back to the very start of the conversation,reset_thread
Clear all of my inputs from memory,reset_thread
Remove all data related to this conversation,reset_thread
Discard all my changes and inputs,reset_thread
Undo absolutely everything we've done,reset_thread
Reset the entire system please,reset_thread
Wipe the slate completely clean,reset_thread
Forget everything I've said so far,reset_thread
Start completely from scratch again,reset_thread
Abort this mission entirely,reset_thread
Clear the entire board of information,reset_thread
Flush all memory from the system,reset_thread
I want to start over completely,reset_thread
Delete all my previous requirements listed,reset_thread
Scratch that and begin again,reset_thread
Never mind everything I said before,reset_thread
Forget all of that previous information,reset_thread
Go back to the absolute beginning,reset_thread
Clear all requirements from the system,reset_thread
I want to start a completely new project,reset_thread
Remove absolutely everything please,reset_thread
Rewind to the start of the conversation,reset_thread
Cancel this entire process now,reset_thread
End the current session and reset,reset_thread
Terminate everything we've been doing,reset_thread
Close and reset all settings,reset_thread
I need a completely fresh start please,reset_thread
Ignore absolutely everything I just said,reset_thread
Give me a completely clean slate,reset_thread
Back to square one please,reset_thread
Let's go back to where we started,reset_thread
Reboot the entire system now,reset_thread
Reset all of my settings,reset_thread
That is all I want,finish_gathering
I am done,finish_gathering
Finished,finish_gathering
That's it,finish_gathering
No more requirements,finish_gathering
I have nothing else to add,finish_gathering
We are finished,finish_gathering
That is everything,finish_gathering
Complete,finish_gathering
Wrap it up,finish_gathering
Done for now,finish_gathering
This concludes the requirements,finish_gathering
I'm finished listing them,finish_gathering
That's the last one,finish_gathering
No further additions,finish_gathering
We can stop here,finish_gathering
Finalize the list,finish_gathering
Save and exit,finish_gathering
That covers everything,finish_gathering
I think that is all,finish_gathering
Nothing more to add,finish_gathering
Lets wrap up,finish_gathering
I am satisfied with this list,finish_gathering
End of requirements,finish_gathering
List complete,finish_gathering
That sums it up,finish_gathering
I'm all set,finish_gathering
Good to go,finish_gathering
Stop adding requirements,finish_gathering
That's the full scope,finish_gathering
Requirements gathering complete,finish_gathering
I have listed everything,finish_gathering
Let's proceed to the next step,finish_gathering
Submit these requirements,finish_gathering
I believe I have covered all the requirements for this project,finish_gathering
All the necessary requirements have been documented,finish_gathering
I think we have gathered everything we need for the system,finish_gathering
Let's move forward with what we have documented,finish_gathering
I have finished listing all the features needed,finish_gathering
We should proceed to the next phase of development,finish_gathering
All requirements have been captured and documented,finish_gathering
I'm ready to hand over the requirements document,finish_gathering
Let's submit this requirements specification,finish_gathering
I have compiled all the necessary information,finish_gathering
Time to move to the design phase with these requirements,finish_gathering
All the details about the system have been provided,finish_gathering
Let's finalize these requirements and move ahead,finish_gathering
I have given you all the constraints and features needed,finish_gathering
Ready to proceed with development based on these requirements,finish_gathering
All functional and non-functional requirements are listed,finish_gathering
Let's close out the requirements gathering phase,finish_gathering
I have specified everything the system should do,finish_gathering
Time to pass these requirements to the development team,finish_gathering
Complete list of features and constraints documented,finish_gathering
Let's wrap up requirements gathering now,finish_gathering
I have detailed all the user stories needed,finish_gathering
All requirements are finalized and ready,finish_gathering
Let's move to the next stage with documented requirements,finish_gathering
I have captured all system specifications,finish_gathering
Ready to begin development with these requirements,finish_gathering
All features and constraints have been specified,finish_gathering
Let's proceed with building the system based on these specs,finish_gathering
I think the requirements are comprehensive now,finish_gathering
Time to transition from gathering to implementation,finish_gathering
All necessary details have been documented,finish_gathering
Let's submit the finalized requirements list,finish_gathering
I have provided all the information needed,finish_gathering
Ready to hand over to the development team,finish_gathering
All requirements and specifications are complete,finish_gathering
Let's move forward with the documented specifications,finish_gathering
I have detailed every aspect of the system,finish_gathering
Time to finalize and proceed with development,finish_gathering
All user needs and system features are listed,finish_gathering
Let's close the requirements phase,finish_gathering
I have compiled the complete requirements document,finish_gathering
Ready to transition to the design phase,finish_gathering
All system requirements have been gathered,finish_gathering
Let's proceed with implementation planning,finish_gathering
I have specified all functional requirements,finish_gathering
Time to move to development,finish_gathering
All constraints and features documented,finish_gathering
Let's finalize the requirements and begin design,finish_gathering
I have provided the complete specification,finish_gathering
Ready to advance to the next project phase,finish_gathering
Requirements gathering is now complete,finish_gathering
Let's move forward with these documented needs,finish_gathering
All features have been clearly specified,finish_gathering
Time to start building based on these requirements,finish_gathering
I have documented everything thoroughly,finish_gathering
Let's proceed with the next stage,finish_gathering
All system requirements are finalized,finish_gathering
Ready to submit to the development team,finish_gathering
I believe we have everything we need now,finish_gathering
Let's conclude the requirements phase,finish_gathering
All specifications have been clearly defined,finish_gathering
Time to transition to implementation,finish_gathering
I have listed all necessary features and constraints,finish_gathering
Let's move to development planning,finish_gathering
Complete requirements specification is ready,finish_gathering
Ready to proceed with system design,finish_gathering
All requirements have been thoroughly documented,finish_gathering
Let's finalize and submit these specifications,finish_gathering
I have captured all the needed information,finish_gathering
Time to start the development phase,finish_gathering
All user requirements and system constraints listed,finish_gathering
Let's proceed with the next step,finish_gathering
I have provided comprehensive requirements,finish_gathering
Ready to hand off to development,finish_gathering
Requirements are complete and documented,finish_gathering
Let's move forward with these specifications,finish_gathering
All features and functionalities specified,finish_gathering
Time to begin system implementation,finish_gathering
I have detailed the complete system design requirements,finish_gathering
Let's conclude requirements gathering,finish_gathering
All necessary information has been collected,finish_gathering
Ready to advance to the development stage,finish_gathering
I believe the requirements are comprehensive,finish_gathering
Let's submit and proceed with development,finish_gathering
All system specifications are finalized,finish_gathering
Time to move to the next phase,finish_gathering
I have documented all necessary details,finish_gathering
Let's finalize the requirements list,finish_gathering
Complete specification ready for development,finish_gathering
Ready to transition to implementation,finish_gathering
All requirements have been carefully documented,finish_gathering
Let's proceed with system development,finish_gathering
I have provided all project specifications,finish_gathering
Time to begin the development process,finish_gathering
All constraints and features are documented,finish_gathering
Let's move forward with implementation,finish_gathering
Requirements documentation is complete,finish_gathering
Ready to hand to the development team,finish_gathering
All system needs have been specified,finish_gathering
Let's conclude this requirements phase,finish_gathering
I have captured everything needed,finish_gathering
Time to start building the system,finish_gathering
I want a login page,requirement
I want a search button,requirement
I want the background to be blue,requirement
I want users to be able to logout,requirement
I want a dashboard with charts,requirement
I want to export data to PDF,requirement
I want a fast response time,requirement
I want email notifications,requirement
I want to upload files,requirement
I want an admin panel,requirement
I want a dark mode option,requirement
I want to filter results by date,requirement
I want a payment gateway integration,requirement
I want the text to be bold,requirement
I want a mobile responsive design,requirement
